JOB Role,Company,Salary,Location
"Graphics Designer(CBSE- Books Design) For Corporate Office, Delhi",Seth MR Jaipuria Schoool,"₹ 3,60,000 - 4,50,000",Delhi
TGT Mathematics Teacher For CBSE School,Mount Litera Zee School Ghogali. Nagpur,Competitive salary,Nagpur
Brand Manager For School,Reputed Group Of School,"₹ 4,32,000 - 5,40,000",Hyderabad
Career Counsellor For School,Reputed Group Of School,"₹ 3,36,000 - 4,20,000",Hyderabad
Event Manager For School,Reputed School,"₹ 3,84,000 - 4,80,000",Hyderabad
Special Education Teacher For CBSE School,Reputed Group Of School,"₹ 3,36,000 - 4,20,000",Hyderabad
Center Business Head For Pre-School,Reputed Pre - School,"₹ 3,84,000 - 4,80,000",Hyderabad
TGT Social Science Teacher For CBSE School,"Reputed School In Varathaiyangar Palayam, Coimbatore","₹ 2,40,000 - 3,00,000",Coimbatore
TGT English Teacher For CBSE School,"Reputed School In Varathaiyangar Palayam, Coimbatore","₹ 2,40,000 - 3,00,000",Coimbatore
Home Room Teacher For CBSE School,"Reputed School In Varathaiyangar Palayam, Coimbatore","₹ 2,40,000 - 3,00,000",Coimbatore
Pre-Primary General Teacher For CBSE School,"Reputed School In Varathaiyangar Palayam, Coimbatore","₹ 2,40,000 - 3,00,000",Coimbatore
PGT Accountancy Teacher For CBSE School,ADHIYAMAN PUBLIC SCHOOL,"₹ 3,84,000 - 4,80,000",Krishnagiri
TGT Yoga Teacher For CBSE School,ADHIYAMAN PUBLIC SCHOOL,"₹ 2,88,000 - 3,60,000",Krishnagiri
TGT English Teacher For CBSE School,U P Public School,Competitive salary,Suri
TGT English Teacher For Gujarat Board School,Kripalu Vidyamandir,"₹ 2,40,000 - 3,00,000",Kalol
TGT Mathematics Teacher For Gujarat Board School,Kripalu Vidyamandir,"₹ 2,40,000 - 3,00,000",Kalol
Admission Counsellor,The Shri Ram Wonder Years,Competitive salary,Gurgaon
Pre-Primary Teacher,The Shri Ram Wonder Years,Competitive salary,Greater Noida
Pre-Primary Teacher,The Shri Ram Wonder Years,"₹ 2,40,000 - 3,00,000",Gurgaon
Accountant For CBSE School/Articleship In CA For 3 Years,"Samsidh International School, Vidyaranyapura","₹ 3,20,000 - 4,00,000",Bangalore
Class 11-12 Physics Teacher For JEE/NEET Coaching,ADHIYAMAN PUBLIC SCHOOL,"₹ 19,20,000 - 24,00,000",Krishnagiri
"Principal For CBSE School In Anantapur, Telugu Speaking Mandatory","Samsidh School, Anantapur","₹ 6,40,000 - 8,00,000",Anantapur
"Principal For Seth MR Jaipuria School, Gwalior, MP.",Seth MR Jaipuria Schoool,"₹ 9,60,000 - 12,00,000",Gwalior
PGT Chemistry Teacher For CBSE School,Seth M.R Jaipuria Schools,Competitive salary,Amethi
PGT ENGLISH For CISCE School  ( Chhibramau -Kannauj),City Children's Academy,"₹ 4,00,000 - 5,00,000",Kannauj
Pre-Primary General Teacher For CBSE School,Seth M.R Jaipuria Schools,Competitive salary,Budaun
Assistant Professor For UG/PG Department,Presidency College,"₹ 4,86,400 - 6,08,000",Bangalore
Mathematics Teacher For CISCE School,Nopany High,Competitive salary,Kolkata
PGT Mathematics Teacher For Behrampur Branch,Narayana West Bengal,Competitive salary,Behrampur
TGT Social Science Teacher For CBSE School,National Public School JP Nagar,Competitive salary,Bangalore
PRO For CBSE School In Horamavu Bangalore,"Samsidh International School, Horamavu",Competitive salary,Bangalore
TGT English & Subject Head For Balsam Academy,Balsam Academy,"₹ 4,00,000 - 5,00,000",Ranipet
Pre-Primary General Teacher For CBSE School,Sant NandLal Smriti Vidya Mandir,Competitive salary,Jhunjhunu
PGT Computer Science Teacher For CBSE School,Sant NandLal Smriti Vidya Mandir,"₹ 6,00,000 - 7,50,000",Ghatsila
PGT Mathematics Teacher For CBSE School,Sant NandLal Smriti Vidya Mandir,"₹ 6,00,000 - 7,50,000",Ghatsila
PGT English Teacher For CBSE School,Sant NandLal Smriti Vidya Mandir,"₹ 6,00,000 - 7,50,000",Ghatsila
PGT Chemistry Teacher For CBSE School,Sant NandLal Smriti Vidya Mandir,"₹ 5,64,000 - 7,05,000",Ghatsila
PGT Physics Teacher For CBSE School,Sant NandLal Smriti Vidya Mandir,"₹ 6,00,000 - 7,50,000",Ghatsila
Science Laboratory Assistant For CBSE School,Sant NandLal Smriti Vidya Mandir,Competitive salary,Malsisar
Admission Marketing Manager For School,ADHIYAMAN PUBLIC SCHOOL,"₹ 4,80,000 - 6,00,000",Krishnagiri
"Upper Secondary Music Teacher For CBSE School (drums, Guitar)",ADHIYAMAN PUBLIC SCHOOL,"₹ 2,40,000 - 3,00,000",Krishnagiri
TGT Mathematics Teacher For CBSE School,ADHIYAMAN PUBLIC SCHOOL,"₹ 4,80,000 - 6,00,000",Krishnagiri
PGT Mathematics Teacher For CBSE School,ADHIYAMAN PUBLIC SCHOOL,"₹ 9,60,000 - 12,00,000",Krishnagiri
TGT Physics Teacher For CBSE School,ADHIYAMAN PUBLIC SCHOOL,"₹ 4,80,000 - 6,00,000",Krishnagiri
Resource Person_Pre-Primary & Primary_all Subjects,Narayana Schools,"₹ 8,00,000 - 10,00,000",Hyderabad
Admission Counsellor For School,Reputed School At Sec 49 Gurgaon,"₹ 4,00,000 - 5,00,000",Gurgaon
TGT Computer Science Teacher For CBSE School,"Delhi Public School, Firozabad",Competitive salary,Firozabad
PRT Environmental Science Teacher For CBSE School,"Delhi Public School, Firozabad",Competitive salary,Firozabad
Primary Hindi Teacher,Pallavi International School,"₹ 3,60,000 - 4,50,000",Hyderabad
Teacher For Pre-School,Seth M.R Jaipuria Schools,Competitive salary,Lucknow
Music Teacher For CBSE School ( KEYBOARD),ADHIYAMAN PUBLIC SCHOOL,"₹ 2,88,000 - 3,60,000",Krishnagiri
Primary English Teacher For CBSE School ( FEMALE ),ADHIYAMAN PUBLIC SCHOOL,"₹ 2,88,000 - 3,60,000",Krishnagiri
PRT General Teacher For CBSE School,Seth M.R Jaipuria Schools,Competitive salary,Barwani
SME_IB Board_Pre-Primary & Primary,Narayana Schools,"₹ 8,00,000 - 10,00,000",Hyderabad
Lower Secondary Librarian Teacher For CBSE School,St. George Group Of Schools,Competitive salary,Bhopal
PGT English Teacher For CBSE School,Canvas International Smart School,Competitive salary,Kalamb
Volleyball Coach,The Newtown School.,Competitive salary,Kolkata
PGT French Teacher For CBSE School,"Reputed School In Thodupuzha, Kerela","₹ 3,20,000 - 4,00,000",Kochi
PGT Mathematics For Haldia Branch,Narayana Schools Bally,Competitive salary,Haldia
PRT Mathematics Teacher For CBSE School In Rajsamand,"Lakshmipat Singhania School, Rajasthan","₹ 3,20,000 - 4,00,000",Udaipur
Photoshop Expert For Promotional Content Designing,Siddhartha Quest School,"₹ 2,88,000 - 3,60,000",Eluru
Female Principal ( Prior Experience As CBSE School Principal Must),Reputed CBSE School,Competitive salary,Mumbai
Graphics Designer (Corporate Office),Adani GEMS Education,Competitive salary,Mumbai
PGT Physics Teacher For CBSE School,Erudite Academy,"₹ 4,00,000 - 5,00,000",Diphu
Dance Teacher (TGT),The Newtown School.,Competitive salary,Kolkata
English Teacher For Rajasthan Board School,Tarun Public School,"₹ 2,24,000 - 2,80,000",Jaipur
TGT Social Science Teacher For CBSE School,Reputed School In Gurugram,"₹ 3,20,000 - 4,00,000",Gurgaon
Librarian For School,Mount Litera Zee School Ghogali. Nagpur,Competitive salary,Nagpur
PGT Computer Science Teacher For CBSE School,Reputed School At Sec 49 Gurgaon,"₹ 3,20,000 - 4,00,000",Gurgaon
Mentor,ThinkPro Academy,"₹ 2,40,000 - 3,00,000",Bellary
Preprimary Vice Principal,Narayana Schools.,"₹ 2,40,000 - 3,00,000",Vellore
Preprimary Vice Principal,Narayana Schools.,"₹ 2,40,000 - 3,00,000",Gobichettipalayam
Preprimary Vice Principal,Narayana Schools.,"₹ 2,40,000 - 3,00,000",Namakkal
"Principal With Seth MR Jaipuria School, Sonbhadra, UP",Seth MR Jaipuria Schoool,"₹ 8,00,000 - 10,00,000",Sonbhadra
Primary General Teacher For CBSE School,Seth M.R Jaipuria Schools,Competitive salary,Budaun
TGT English Teacher For Telangana Board School,Narayana Schools,Competitive salary,Hyderabad
Statistics Lecturer For Presidency PU College Kogilu,Presidency College,"₹ 3,60,000 - 4,50,000",Bangalore
Hostel Warden For College/University,Adyant Higher Secondary School (College),Competitive salary,Bhubaneswar
PGT Mathematics Teacher For CBSE School,Brahmavid The Global School,"₹ 5,20,000 - 6,50,000",Raipur
Data Analytics Expert,Treeline Business Solutions Pvt. Ltd.,Competitive salary,Chennai
Radiology Assistant,Sri Sai Overseas Recruitment,"₹ 3,00,000 - 3,60,000",Vadodara
Graphic Design,Sri Sai Overseas Recruitment,"₹ 3,00,000 - 4,20,000",Naroda
CHINESE / JAPANESE LANGUAGE EXPERT,Almighty HRD Consultants,Competitive salary,Coimbatore
DevOps Engineer,Zensar Technologies,Competitive salary,Pune
Manager - Accounts & Finance,Olive Trees Consulting,"₹ 10,00,000 - 15,00,000",Mumbai
D365 F & O Security & Environment Support,Olive Trees Consulting,"₹ 11,00,000 - 16,00,000",Work from home
Financial Planning Analyst,Treeline Business Solutions Pvt. Ltd.,Competitive salary,Chennai
Node Js (AWS+GraphQL),Colan Infotech Private Limited,Competitive salary,"Chennai, Bangalore"
Marketplace-Business Analyst (Ecommerce) Pune,Synergy Resource Solutions,"₹ 8,00,000 - 10,00,000",Pune
DotNet Developer,Ultrafly Solutions Private Limited,Competitive salary,Ernakulam
Java Full Stack React Pune Onsite,Agodly Infotech LLP,Competitive salary,Pune
Information Security Officer,Xomic Infotech Private Limited,"₹ 2,16,000 - 2,40,000",Ahmedabad
"Automation Engineer- Kadubeesanahalli, Bangalore",Agodly Infotech LLP,Competitive salary,Bangalore
Admission Process Executive,Career Craft Consultants India Private Limited,Competitive salary,"Anand, Vadodara"
Cloudopenstack - Guwahati Location,Reliance Industries Limited,Competitive salary,Guwahati
Software Sales Specialist,TransportSimple,Competitive salary,Bangalore
Piping 3D Designer (S&L),Petro Manpower Engineering Consultant,Competitive salary,Vadodara
Graphic Illustrator,TeachEdison,Competitive salary,Coimbatore
MIS Executive,Cotton Concepts (CC),"₹ 2,20,000 - 3,00,000",Karur
Human Resources (HR),Chiselon Technologies Pvt Ltd,Competitive salary,Coimbatore
Microsoft Entra ID,Zensar Technologies,Competitive salary,"Chennai, Pune, Hyderabad, Bangalore"
Azure Devops,Zensar Technologies,Competitive salary,"Chennai, Pune, Hyderabad, Bangalore"
Accounts Executive (CA Aspirant),Mittal Brothers Pvt Ltd,"₹ 3,00,000 - 3,60,000",Pune
SR. PURCHASE EXECUTIVE,Mittal Brothers Pvt Ltd,"₹ 6,00,000 - 7,20,000",Pune
Head - Design & Engineering,Reliance New Energy,Competitive salary,Navi Mumbai
Head - Process Validation,Reliance New Energy,Competitive salary,Navi Mumbai
Head - Procurement & Contracting,Reliance New Energy,Competitive salary,Navi Mumbai
PPC Executive,Om Ak Solutions,Competitive salary,"Chandigarh, Panchkula"
Team Lead - Holiday Sales,Holiday Tribe Private Limited,Competitive salary,"Gurgaon, Jaipur"
Jr. UI UX Developer,Xomic Infotech Private Limited,Competitive salary,Ahmedabad
Lead - Maintenance Compressed Biogas Plant,Reliance New Energy,Competitive salary,"Jind, Nanded, Solapur, Warangal, Yavatmal, Malegaon, Jhajjar"
Lead - Operations (Compressed Biogas Plant),Reliance New Energy,Competitive salary,"Bilaspur, Dhenkanal, Kurnool, Warangal, Yavatmal, Balaghat, Raipur"
Social Science Teacher -CBSE School Pusad (MH),LIFE EDUCARE Pvt. Ltd.,Competitive salary,"Yavatmal, Amravati, Pusad"
Electrician,GREATBELL HR Consultancy Services PVT LTD,"₹ 2,40,000 - 3,00,000","Chennai, Coimbatore, Vellore, Tiruppur, Tiruchirappalli, Salem"
BDM(Road Construction Material),Synergy Resource Solutions,"₹ 6,00,000 - 12,00,000","Ahmedabad, Gurgaon"
Piping E3D Designer/ Modeller,Petro Manpower Engineering Consultant,Competitive salary,Vadodara
Junior Supervisor (Transformation Department)),Moustache Escapes,Competitive salary,Jaipur
Store Manager - Trends,Reliance Retail,"₹ 4,50,000 - 6,00,000",Challakere
Store Manager - Trends WIW Belgaum,Reliance Retail,"₹ 4,50,000 - 6,00,000",Belgaum
Department Manager - Trends Extn,Reliance Retail,"₹ 4,00,000 - 5,00,000",Davanagere
L2 - Network & Security_1,Jio,Competitive salary,"Delhi, Pune"
Branch Office Manager,Innolink Digital Services,Competitive salary,Madurai
Social Media Content Creator & Video Editor,Almighty HRD Consultants,Competitive salary,Coimbatore
Mid Full Stack Developer,TeachEdison,Competitive salary,Coimbatore
Kubernetes ## Work Location - Guwahati,Reliance Industries Limited,"₹ 4,00,000 - 10,00,000",Guwahati
Certified Dental Technician,Illusion Dental Laboratory,"₹ 2,40,000 - 3,60,000",Mumbai
Assistant Professor,Care Group Of Institutions,Competitive salary,Tiruchirappalli
Digital Marketing Intern,Meviveinternational,Competitive salary,Coimbatore
Center Head,Omni Career Hub,"₹ 4,50,000 - 8,20,000",Surat
"Head - Quality Assurance, Manufacturing",Reliance New Energy,Competitive salary,Navi Mumbai
Head - Quality Assurance EPC,Reliance New Energy,Competitive salary,Navi Mumbai
Assistant Professor,Care Group Of Institutions,Competitive salary,Tiruchirappalli
Backend Software Engineers(python),Futuremug,"₹ 6,24,000 - 12,48,000",Thiruvananthapuram
Freelance Interviewer-ServiceNow Developer,Futuremug,"₹ 6,24,000 - 12,48,000",Thiruvananthapuram
ABAP Sr. Developer,ALIQAN Technologies,"₹ 12,00,000 - 24,00,000",Work from home
Urgent: Civil/Mech/Electrical/HSE Jobs  Mumbai,Petro Manpower Engineering Consultant,Competitive salary,Mumbai
Manager  Finance & Accounts,Olive Trees Consulting,"₹ 22,00,000 - 28,00,000",Mumbai
Air Quality Sensor Research & Testing Engineer,Synergy Resource Solutions,"₹ 3,50,000 - 5,00,000",Ahmedabad
Electrical Design Engineer(Process Industry),Synergy Resource Solutions,"₹ 3,00,000 - 12,00,000",Ahmedabad
Electrical Designer/Draftsman(Process Industry),Synergy Resource Solutions,"₹ 3,00,000 - 8,00,000",Ahmedabad
Junior Associate  Retention Marketing,Vilvah Store Private Limited,Competitive salary,Coimbatore
Service Engineer (AHU/HVAC) Hyderabad,Synergy Resource Solutions,"₹ 4,00,000 - 5,00,000",Hyderabad
Onsite Manager,FracSpace Private Limited,Competitive salary,Hyderabad
IT Field Support Engineer- Germany,EIL Global IT Solutions And Services Pvt Ltd,Competitive salary,"Berlin (Germany), Frankfurt Am Main (Germany)"
Senior Dotnet Developer,Kiash Solutions LLP,Competitive salary,"Chennai, Bangalore"
Sales Engineer,Sri Sai Overseas Recruitment,"₹ 3,00,000 - 3,60,000",Anand
Customer Service,IEnergizer,Competitive salary,Noida
Spa Manager,FracSpace Private Limited,Competitive salary,Hyderabad
Store Manager,Reliance Retail,Competitive salary,Pune
Field Executive PCCS,Reliance Industries Limited,Competitive salary,Jamnagar
Senior Data Analyst,Zensar Technologies,Competitive salary,"Chennai, Kolkata, Pune, Hyderabad, Bangalore"
Assistant Professor - MBA,Easa College Of Engineering & Technology,"₹ 2,40,000 - 3,60,000",Coimbatore
Infosec Compliance Manager - Guwahati,Jio,Competitive salary,Guwahati
Android Marketing/ASO Specialist,Olive Trees Consulting,"₹ 19,00,000 - 22,00,000",Bangalore
Freelance Interviewer-Lead Content Writer,Futuremug,"₹ 6,24,000 - 12,48,000",Thiruvananthapuram
Microsoft Dynamics 365 F&O Functional Support,Olive Trees Consulting,"₹ 12,00,000 - 19,00,000",Work from home
Senior BIM Modeler,Innolink Digital Services,Competitive salary,Madurai
FCC-Technical Consultant For Data Migration,JMR Infotech,Competitive salary,Bangalore
Commerce Tools + Node JS + Cloud,ALIQAN Technologies,"₹ 8,40,000 - 12,00,000",Work from home
BA - Transaction Banking(Sr Con & Manager),EIL Global IT Solutions And Services Pvt Ltd,"₹ 12,00,000 - 30,00,000","Pune, Bangalore"
Senior Data Engineer,Jio,"₹ 10,00,000 - 50,00,000",Mumbai
BA - Wholesale Banking(Sr Con & Manager),EIL Global IT Solutions And Services Pvt Ltd,"₹ 12,00,000 - 30,00,000","Pune, Hyderabad, Bangalore"
Team Lead,Podar Education Network,"₹ 4,80,000 - 7,20,000",Mumbai
Amazon Web Services (AWS),Chiselon Technologies Pvt Ltd,"₹ 20,00,000 - 35,00,000",Work from home
Facade Engineer,Treeline Business Solutions Pvt. Ltd.,"₹ 36,00,000 - 48,00,000",Chennai
Architectural BIM Modeler,Innolink Digital Services,Competitive salary,Madurai
Customer Service,IEnergizer,Competitive salary,"Delhi, Gurgaon, Noida"
Full Stack Java Developer,Colan Infotech Private Limited,Competitive salary,"Chennai, Bangalore"
Graphic Design,Sri Sai Overseas Recruitment,"₹ 3,00,000 - 4,20,000",Naroda
Assistant Sales Manager,Sri Sai Overseas Recruitment,"₹ 5,00,000 - 7,00,000",Ahmedabad
Executive Assistant To Chief Executive Officer,Sri Sai Overseas Recruitment,"₹ 3,00,000 - 4,20,000",Naroda
Amazon Ads Executive  Fresher,Advertising Saga,Competitive salary,Mumbai
Quantity Surveyor Engineer,Hire Xpert,Competitive salary,Bangalore
L3 Network & Security,Jio,"₹ 15,00,000 - 24,00,000","Bhubaneswar, Pune"
Sr Dotnet Full Stack Developer,Kiash Solutions LLP,Competitive salary,Hyderabad
.NET Developer:,Kiash Solutions LLP,"₹ 16,00,000 - 18,00,000",Hyderabad
Data Engineer,D Square Consulting Services Pvt Ltd,Competitive salary,Bangalore
Senior Cloud Security Engineer,Abjayon Inc.,"₹ 20,00,000 - 30,00,000",Hyderabad
Executive Assistant (Ahmedabad),Synergy Resource Solutions,Competitive salary,Ahmedabad
Global Operations Intern,Early Steps Academy,Competitive salary,Bangalore
Digital Engagement & Lead Nurturing Specialist,I4 Consulting : Reimagining HR Blueprints,"₹ 21,00,000 - 25,00,000",Work from home
HR Manager,Bharat Business Innovations Pvt Ltd,"₹ 5,00,000 - 7,00,000",Navi Mumbai
ISO Management Representative,Synergy Resource Solutions,"₹ 5,40,000 - 7,20,000",Ahmedabad
Assistant Manager(Production) Injection Moulding,Synergy Resource Solutions,"₹ 6,00,000 - 9,00,000","Ahmedabad, Kadi"
Technician,Muks Robotics  The AI Robotics Company,Competitive salary,Baner
Real Estate Agent,Sri Landstar Property Developers PVT LTD,Competitive salary,"Coimbatore, Pollachi"
Social Media Executive,Satya Satellite IT Solutions,Competitive salary,Jaipur
"Data Engineer(JAVA,AWS,Pyspark)Exp- 3-4yrs",VectorStack,Competitive salary,Bangalore
Article  Assistant,GSC INTIME SERVICES PVT LTD,Competitive salary,Mumbai
Sales Manager  Industrial Coatings,Wings Global Services,Competitive salary,"Thane, Kalyan, Mumbai"
Sales Marketing Manager,GREATBELL HR Consultancy Services PVT LTD,Competitive salary,"Kottayam, Thrissur, Alappuzha, Ernakulam"
Piping Layout Engineer,Petro Manpower Engineering Consultant,Competitive salary,Delhi
Biomedical Engineer,Refining Skills Academy,Competitive salary,"Bangalore, Chikkaballapur"
